                                                                                                       
{'loss': 1.5289, 'grad_norm': 2.0699615478515625, 'learning_rate': 1.8882175226586106e-05, 'epoch': 0.19}
{'loss': 1.5169, 'grad_norm': 1.7204698324203491, 'learning_rate': 1.9033232628398792e-05, 'epoch': 0.19}
{'loss': 1.5179, 'grad_norm': 1.7941055297851562, 'learning_rate': 1.918429003021148e-05, 'epoch': 0.19}
{'loss': 1.5058, 'grad_norm': 1.6271800994873047, 'learning_rate': 1.933534743202417e-05, 'epoch': 0.19}
{'loss': 1.5067, 'grad_norm': 1.833025336265564, 'learning_rate': 1.9486404833836856e-05, 'epoch': 0.19}
{'loss': 1.4947, 'grad_norm': 2.02165150642395, 'learning_rate': 1.963746223564955e-05, 'epoch': 0.2}
{'loss': 1.4897, 'grad_norm': 1.6382901668548584, 'learning_rate': 1.9788519637462235e-05, 'epoch': 0.2}
{'loss': 1.496, 'grad_norm': 1.659375548362732, 'learning_rate': 1.9939577039274927e-05, 'epoch': 0.2}
{'loss': 1.4822, 'grad_norm': 1.7020848989486694, 'learning_rate': 2.0090634441087613e-05, 'epoch': 0.2}
{'loss': 1.4771, 'grad_norm': 1.512032151222229, 'learning_rate': 2.0241691842900302e-05, 'epoch': 0.2}
{'loss': 1.4646, 'grad_norm': 1.4815300703048706, 'learning_rate': 2.039274924471299e-05, 'epoch': 0.2}
{'loss': 1.4714, 'grad_norm': 1.7768996953964233, 'learning_rate': 2.054380664652568e-05, 'epoch': 0.21}
{'loss': 1.4646, 'grad_norm': 1.7567485570907593, 'learning_rate': 2.069486404833837e-05, 'epoch': 0.21}
{'loss': 1.4626, 'grad_norm': 1.636980652809143, 'learning_rate': 2.084592145015106e-05, 'epoch': 0.21}
{'loss': 1.4505, 'grad_norm': 1.680030345916748, 'learning_rate': 2.099697885196375e-05, 'epoch': 0.21}
{'loss': 1.4457, 'grad_norm': 1.5671513080596924, 'learning_rate': 2.1148036253776434e-05, 'epoch': 0.21}
{'loss': 1.4344, 'grad_norm': 1.6104899644851685, 'learning_rate': 2.1299093655589124e-05, 'epoch': 0.21}
{'loss': 1.4318, 'grad_norm': 1.6455634832382202, 'learning_rate': 2.1450151057401813e-05, 'epoch': 0.21}
{'loss': 1.4271, 'grad_norm': 1.6063811779022217, 'learning_rate': 2.1601208459214502e-05, 'epoch': 0.22}
{'loss': 1.4212, 'grad_norm': 1.8014589548110962, 'learning_rate': 2.175226586102719e-05, 'epoch': 0.22}
{'loss': 1.4118, 'grad_norm': 1.8498754501342773, 'learning_rate': 2.190332326283988e-05, 'epoch': 0.22}
{'loss': 1.4002, 'grad_norm': 1.8567278385162354, 'learning_rate': 2.205438066465257e-05, 'epoch': 0.22}
{'loss': 1.3961, 'grad_norm': 2.1670682430267334, 'learning_rate': 2.220543806646526e-05, 'epoch': 0.22}
{'loss': 1.3863, 'grad_norm': 1.9012187719345093, 'learning_rate': 2.2356495468277948e-05, 'epoch': 0.22}
{'loss': 1.3767, 'grad_norm': 1.901623249053955, 'learning_rate': 2.2507552870090637e-05, 'epoch': 0.23}
{'loss': 1.3628, 'grad_norm': 1.9019593000411987, 'learning_rate': 2.2658610271903323e-05, 'epoch': 0.23}
{'loss': 1.3547, 'grad_norm': 2.1173532009124756, 'learning_rate': 2.2809667673716012e-05, 'epoch': 0.23}
{'loss': 1.336, 'grad_norm': 2.1830990314483643, 'learning_rate': 2.2960725075528702e-05, 'epoch': 0.23}
{'loss': 1.3216, 'grad_norm': 2.2138891220092773, 'learning_rate': 2.311178247734139e-05, 'epoch': 0.23}
{'loss': 1.3065, 'grad_norm': 2.2670814990997314, 'learning_rate': 2.326283987915408e-05, 'epoch': 0.23}
{'loss': 1.2963, 'grad_norm': 2.4779231548309326, 'learning_rate': 2.341389728096677e-05, 'epoch': 0.23}
{'loss': 1.2841, 'grad_norm': 2.50339937210083, 'learning_rate': 2.356495468277946e-05, 'epoch': 0.24}
{'loss': 1.2695, 'grad_norm': 2.5829153060913086, 'learning_rate': 2.3716012084592144e-05, 'epoch': 0.24}
{'loss': 1.249, 'grad_norm': 2.546065330505371, 'learning_rate': 2.3867069486404837e-05, 'epoch': 0.24}
{'loss': 1.2411, 'grad_norm': 2.393031597137451, 'learning_rate': 2.4018126888217523e-05, 'epoch': 0.24}
{'loss': 1.2225, 'grad_norm': 2.3435862064361572, 'learning_rate': 2.4169184290030216e-05, 'epoch': 0.24}
{'loss': 1.2051, 'grad_norm': 2.375934600830078, 'learning_rate': 2.43202416918429e-05, 'epoch': 0.24}
{'loss': 1.1949, 'grad_norm': 2.4457998275756836, 'learning_rate': 2.447129909365559e-05, 'epoch': 0.24}
{'loss': 1.18, 'grad_norm': 2.370453357696533, 'learning_rate': 2.462235649546828e-05, 'epoch': 0.25}
{'loss': 1.1649, 'grad_norm': 2.335289239883423, 'learning_rate': 2.4773413897280966e-05, 'epoch': 0.25}
{'loss': 1.1395, 'grad_norm': 2.3851795196533203, 'learning_rate': 2.4924471299093658e-05, 'epoch': 0.25}
{'loss': 1.1241, 'grad_norm': 2.430525779724121, 'learning_rate': 2.5075528700906348e-05, 'epoch': 0.25}
